,case,note_names,periods_considered,threshold_exponent,tension_score,chord_label,normalized_tension_score
97,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**10,306954.0623337731,m3,0.004382099874369233
98,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**11,306954.0623337731,m3,0.004382099874369233
99,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**12,306954.0623337731,m3,0.004382099874369233
100,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**2,0.0,m3,0.0
101,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**3,0.0,m3,0.0
102,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**4,0.0,m3,0.0
103,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**5,306954.0623337731,m3,0.9843563281347724
104,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**6,306954.0623337731,m3,0.9843563281347724
105,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**7,306954.0623337731,m3,0.9843563281347724
106,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**8,306954.0623337731,m3,0.004382099874369233
107,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",12,10**9,306954.0623337731,m3,0.004382099874369233
108,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**1,0.0,m3,0.0
109,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**10,628082.9416439201,m3,0.008966560529433502
110,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**11,628082.9416439201,m3,0.008966560529433502
111,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**12,628082.9416439201,m3,0.008966560529433502
112,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**2,0.0,m3,0.0
113,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**3,0.0,m3,0.0
114,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**4,0.0,m3,0.0
115,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**5,0.0,m3,0.0
116,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**6,628082.9416439201,m3,1.0
117,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**7,628082.9416439201,m3,1.0
118,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**8,628082.9416439201,m3,0.008966560529433502
119,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",13,10**9,628082.9416439201,m3,0.008966560529433502
120,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**1,0.0,m3,0.0
121,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**10,628082.9416439201,m3,0.008966560529433502
122,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**11,628082.9416439201,m3,0.008966560529433502
123,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**12,628082.9416439201,m3,0.008966560529433502
124,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**2,0.0,m3,0.0
125,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**3,0.0,m3,0.0
126,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**4,0.0,m3,0.0
127,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**5,0.0,m3,0.0
128,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**6,628082.9416439201,m3,1.0
129,Smallest_delta_t_and_choose_top_3_delta_t,"G2,A#2",14,10**7,628082.9416439201,m3,1.0
