,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent
106,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_delta_t,21,10**1
107,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,21,10**1
108,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_t_sub,22,10**1
109,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),22,10**1
110,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,22,10**1
111,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,22,10**1
112,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_delta_t,22,10**1
113,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,22,10**1
114,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_t_sub,23,10**1
115,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),23,10**1
116,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,23,10**1
117,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,23,10**1
118,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_delta_t,23,10**1
119,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,23,10**1
120,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_t_sub,24,10**1
121,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),24,10**1
