,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
72,0.2190484667937716,"[0.0, 0.0, 0.0, 0.0, 0.9656691360645205, 1.0, 0.8804155009903709, 0.8730519168315343, 0.649694304733271, 0.7946230629638594, 0.11339234602352732, 0.27032189204010626, 0.14815529270100133]",0.4721309149297214,Smallest_delta_t_and_choose_top_3_t_sub,16
73,0.1818374441612418,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.5151361782097817, 0.27872292296753154, 0.13075745167364666, 0.2172851740212136, 0.24625992726887272, 0.2628527192214864, 0.25465356515784854, 0.20222985746920447]",0.552140953158496,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),16
74,0.31932944573468874,"[0.0, 0.0, 0.0, 0.0, 0.8941461410825741, 0.9878164443315548, 0.5934459523373647, 0.9723633680133561, 0.4338870698681884, 0.49107253940232143, 1.0, 0.12908659503373515, 0.1700648002086826]",0.28754874412129533,Smallest_ratio_and_filter_by_smallest_t_sub,16
75,0.502451091390144,"[0.0, 0.0, 0.0, 0.0, 0.9455930102758661, 0.9938895533868715, 0.7703544329315986, 0.986084868565255, 0.6587010474169511, 0.7007656808108695, 1.0, 0.3592862299528541, 0.4123891368703625]",0.08013951961383281,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,16
76,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,16
77,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,16
78,0.3492949620830802,"[0.0, 0.0, 0.0, 0.0, 0.8395029758154103, 0.8693484594907044, 0.7653878594977157, 0.7589863389529009, 1.0, 0.6908043356634161, 0.09857746133359038, 0.3502034127905691, 0.3272132786046789]",0.24207529350495943,Smallest_delta_t_and_choose_top_3_t_sub,17
79,0.20176815203348641,"[0.0, 0.0, 0.0, 0.0, 0.9051743835745046, 1.0, 0.2522928499852195, 0.11835829571646618, 0.41308360600132743, 0.22290817786470418, 0.2379275480921913, 0.2928384134793274, 0.308628153487753]",0.5085896754314304,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),17
80,0.39372170920466787,"[0.0, 0.0, 0.0, 0.0, 0.8941461410825741, 0.9878164443315548, 0.5934459523373647, 0.9723633680133561, 0.6129428099381236, 0.49107253940232143, 1.0, 0.18622208401716378, 0.2855606168184544]",0.18316246375022144,Smallest_ratio_and_filter_by_smallest_t_sub,17
81,0.5700098344997304,"[0.0, 0.0, 0.0, 0.0, 0.9455930102758661, 0.9938895533868715, 0.7703544329315986, 0.986084868565255, 0.7829066419044634, 0.7007656808108695, 1.0, 0.43153456873947393, 0.5343787204019771]",0.041965230922590725,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,17
82,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,17
83,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,17
84,0.5598410411982766,"[0.0, 0.0, 0.0, 0.0, 0.7231010960182804, 0.7488083330126925, 0.6592624636551341, 0.653748550476157, 0.8613442916219939, 0.5950203711514073, 1.0, 0.30164571051369743, 0.33949913976705887]",0.04663035729058121,Smallest_delta_t_and_choose_top_3_t_sub,18
85,0.23736421425959425,"[0.0, 0.0, 0.0, 0.0, 0.9051743835745046, 1.0, 0.2522928499852195, 0.9843563281347724, 0.41308360600132743, 0.22290817786470418, 0.2379275480921913, 0.2928384134793274, 0.3418007814178065]",0.43488787241430543,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),18
86,0.5011927228875734,"[0.0, 0.0, 0.0, 0.0, 0.6039031776025413, 0.6671677729298382, 0.4008113214222374, 0.656730819211069, 1.0, 0.5139437468290134, 0.6753965038325553, 0.12577374448160478, 0.36283143027097864]",0.08102178983155585,Smallest_ratio_and_filter_by_smallest_t_sub,18
87,0.636060030622452,"[0.0, 0.0, 0.0, 0.0, 0.7771120753163866, 0.8168033869480698, 0.6330966130238239, 0.8103893010220885, 1.0, 0.7168987005351687, 0.8218251053798219, 0.35464594242935416, 0.6023549039154398]",0.019442903544135425,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,18
88,-0.01709016657232803,"[0.30182007841980996, 0.0, 0.7214823642898025, 0.9912374823239093, 1.0, 0.3729559679673576, 0.5420628995644188, 0.8997177900299042, 0.8849506219500041, 0.2254764000928299, 0.7191775546285399, 0.10179917983525419, 0.506620074603839]",0.9558088216485241,Smallest_t_sub_and_choose_top_3_delta_t,18
89,0.616829727671509,"[0.0, 0.1310116144078594, 0.08697656346378536, 0.06615483578670031, 0.09461247217482213, 0.1597428239254548, 0.08521910176579284, 0.11815449409492772, 0.0796315512475953, 0.2023952518623577, 0.25777164878007836, 0.18238764679065278, 1.0]",0.024730858318244987,Smallest_t_sub_and_filter_by_smallest_delta_t,18
90,0.4815271625392054,"[0.0, 0.0, 0.0, 0.0, 0.3868157229095905, 0.3144389697517756, 0.41252416127874997, 0.5207439957677114, 0.36169497549461954, 0.24986045725935624, 1.0, 0.126666814807417, 0.14256219520217145]",0.09569605763663071,Smallest_delta_t_and_choose_top_3_t_sub,19
