,case,note_names,periods_considered,tension_score,chord_label,normalized_tension_score
207,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",8,19827.678910287344,CM,0.11105406047525912
208,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",9,19827.678910287344,CM,0.0
209,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",10,19827.678910287344,CM,0.0
210,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",11,19827.678910287344,CM,0.0
211,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",12,123039.80771820962,CM,1.0
212,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",13,218383.38437692425,CM,1.0
213,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",14,218383.38437692425,CM,1.0
214,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",15,254780.75209456327,CM,0.10609686125684237
215,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",16,254780.75209456327,CM,0.08944240420332701
216,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",17,254780.75209456327,CM,0.08944240420332701
217,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",18,1488702.5384069365,CM,0.725158360019106
218,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",19,1488702.5384069365,CM,0.725158360019106
219,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",20,1488702.5384069365,CM,0.725158360019106
220,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",21,1488702.5384069365,CM,0.725158360019106
221,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",22,1488702.5384069365,CM,0.725158360019106
222,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",23,1488702.5384069365,CM,0.725158360019106
223,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",24,1488702.5384069365,CM,0.7159149275566454
224,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",25,1488702.5384069365,CM,0.7159149275566454
225,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",26,1488702.5384069365,CM,0.7159149275566454
226,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",27,1488702.5384069365,CM,0.08082555038240771
227,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",28,1488702.5384069365,CM,0.08082555038240771
228,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",29,1488702.5384069365,CM,0.08082555038240771
229,Smallest_delta_t_and_choose_top_3_t_sub,"C4,E4,G4",30,1488702.5384069365,CM,0.07655946967513594
